country,region,total_userate,urban_rate,income
Thailand,Southeast Asia,21.20007177,33.32,2712.517199
Timor-Leste,Southeast Asia,0.210066326,27.3,369.5729537
Togo,Africa,5.379819715,42.0,285.2244493
Tonga,Oceania,12.00669231,24.78,2025.282665
Trinidad and Tobago,North America,48.51681767,13.22,10480.8172
Tunisia,Africa,36.56255296,66.5,3164.927693
Turkey,Middle East,39.82017789,68.68,5348.597192
Turkmenistan,Central Asia,2.199997818,48.62,2062.125152
Tuvalu,Oceania,25.0,0.0,1714.94289
Uganda,Africa,12.50025543,12.98,377.4211133
Ukraine,Europe,44.58535469,67.98,1036.830725
United Arab Emirates,Middle East,77.99678115,77.88,21087.39412
United Kingdom,Europe,84.73170475,89.94,28033.48928
United States,North America,74.247572,81.7,37491.17952
Uruguay,South America,47.86746863,92.3,9106.327234
Uzbekistan,Central Asia,19.44502055,36.82,952.8272608
Vanuatu,Oceania,7.988366667,24.76,1543.956457
Venezuela,South America,35.85043696,93.32,5528.363114
Vietnam,Southeast Asia,27.85182156,27.84,722.8075588
West Bank and Gaza,Middle East,36.42277179,71.9,0.0
"Yemen, Rep.",Middle East,12.34975046,30.64,610.3573673
Zambia,Africa,10.12498646,35.42,432.226337
Zimbabwe,Africa,11.50041532,37.34,320.7718899
